location,spot_id,lat,lon
Pohnpei (Palikir-Pass),640,6.982,158.128
Fajazinha,641,39.42,-31.26
Cozumel,642,20.4031,-86.8574
2nd Street (Tybee Island),643,32.0107,-80.8405
Pleasure Point,644,36.9541,-121.9717
Dakar,645,14.68,-17.45
Ponta Preta,646,16.6058,-22.9304
La Barqueta,647,8.3001,-82.5737
Hamilton,648,32.3063,-64.784
Phuket,649,8.01,98.28
Carolina Beach,650,34.03,-77.88
Navarre Beach,651,30.38,-86.86
Similan Islands,652,8.6,97.64
Lista,653,58.0512,6.6476
Unawatuna Bay,654,6.007,80.2473
Sunset,657,21.6775,-158.041
Rocky Point,658,21.671,-158.048
Velzyland,659,21.6859,-158.033
Hale'iwa,660,21.597,-158.108
Ala Moana,661,21.2791,-157.844
Queens/Canoes (Waikiki),662,21.2729,-157.828
Pacific Beach,663,32.7965,-117.2581
Oceanside,664,33.1922,-117.386
Newport Beach,665,33.6194,-117.943
Carmel Beach,666,36.5548,-121.932
Brandon Bay,667,52.2987,-10.0403
Cuyagua,668,10.4976,-67.6869
Tavarua - Cloudbreak,669,-17.8869,177.1855
Daytona Beach,670,29.2269,-81.0044
Kailua,671,21.41,-157.74
Folly Beach Pier,672,32.652,-79.9379
Hustadvika,673,62.9841,7.1528
Unstad Beach,674,68.2695,13.581
Ocean Isle Beach,675,33.8848,-78.4352
Hosta,676,57.6277,-7.5047
Kitty Hawk,677,36.1016,-75.71
Karmøy,678,59.2,5.18
Tywyn to Aberdovey,679,52.5613,-4.0916
Puerto Armuelles,680,8.28,-82.84
Holden Beach,684,33.9097,-78.2985
Achill Island,685,53.9634,-10.0511
Thorli (Porlackshöfn),686,63.852,-21.3603
Sandvik,687,63.8588,-22.7002
Playas (Guayaquil),688,-2.6456,-80.4164
Fort Pierce,692,27.4327,-80.2785
Dublin Area,694,53.0148,-6.0535
Kraakevika,695,62.6726,6.1681
Florence,696,44.0162,-124.143
Honolua,697,21.0159,-156.641
Ballina,698,-28.879,153.593
Coffs Harbour,699,-30.332,153.124
Port Macquarie,700,-31.4541,152.934
Newcastle,701,-32.9021,151.795
Shoal Bay,702,-32.7255,152.188
Wollongong,703,-34.4335,150.906
Atlantic Beach,706,34.6959,-76.728
Puerto Baquerizo,707,-0.8999,-89.6196
Cerro Gallina,708,-0.7086,-90.5054
Seymour Norte,709,-0.3873,-90.2898
Cape Flattery,710,48.3209,-124.6722
Plettenberg Bay,711,-34.0719,23.3739
Wilderness,712,-34.0117,22.6511
Mossel Bay,713,-34.1824,22.1597
Cape St. Francis,714,-34.1735,24.8402
Port Alfred,715,-33.6009,26.9055
East London,716,-32.9976,27.9551
Richards Bay,717,-28.7911,32.1192
Southbroom,718,-30.912,30.3359
Hermanus,719,-34.4296,19.1437
Red Bluff,720,-24.3944,113.402
Warrnambool,723,-38.3943,142.4911
Waitpinga,724,-35.6346,138.49
Khao Lak,725,8.6618,98.2442
Stony Rise,726,-37.1736,139.743
Vero Beach,727,27.6616,-80.3581
Antsiranana,729,-12.0031,49.3108
Ambohitralanana,730,-15.6125,50.397
Scamander,734,-41.4502,148.27
Bicheno,735,-41.8831,148.305
